Year,Month,Day,Decimal_Date,CO2_Value,Uncertainty
2011,01,08,2011.020833,395.1435,0.5099
2011,01,16,2011.041667,395.3812,0.4991
2011,01,23,2011.062500,395.6427,0.4760
2011,01,31,2011.083333,395.9213,0.4381
2011,02,08,2011.104167,396.2139,0.3924
2011,02,15,2011.125000,396.5140,0.3486
2011,02,23,2011.145833,396.8112,0.3198
2011,03,02,2011.166667,397.0943,0.3156
2011,03,10,2011.187500,397.3708,0.3388
2011,03,18,2011.208333,397.6055,0.3847
2011,03,25,2011.229167,397.7898,0.4470
2011,04,02,2011.250000,397.9225,0.5187
2011,04,09,2011.270833,398.0062,0.5877
2011,04,17,2011.291667,398.0532,0.6391
2011,04,25,2011.312500,398.0614,0.6621
2011,05,02,2011.333333,397.8111,0.5353
2011,05,10,2011.354167,397.5388,0.4947
2011,05,17,2011.375000,397.1530,0.4209
2011,05,25,2011.395833,396.6113,0.3143
2011,06,02,2011.416667,395.8690,0.1898
2011,06,09,2011.437500,394.7972,0.1661
2011,06,17,2011.458333,393.3140,0.3634
2011,06,24,2011.479167,391.5521,0.6189
2011,07,02,2011.500000,389.6065,0.8701
2011,07,10,2011.520833,387.6114,1.0771
2011,07,17,2011.541667,385.7270,1.2140
2011,07,25,2011.562500,384.1053,1.2589
2011,08,01,2011.583333,382.8723,1.1965
2011,08,09,2011.604167,382.0977,1.0443
2011,08,17,2011.625000,381.8884,0.8244
2011,08,24,2011.645833,382.1938,0.5653
2011,09,01,2011.666667,382.9479,0.3611
2011,09,08,2011.687500,384.0695,0.3484
2011,09,16,2011.708333,385.4575,0.4893
2011,09,24,2011.729167,386.9974,0.6327
2011,10,01,2011.750000,388.5838,0.7304
2011,10,09,2011.770833,390.2677,0.6666
2011,10,16,2011.791667,391.4664,0.6719
2011,10,24,2011.812500,392.5005,0.6500
2011,11,01,2011.833333,393.3595,0.6089
2011,11,08,2011.854167,394.0609,0.5546
2011,11,16,2011.875000,394.6319,0.4861
2011,11,23,2011.895833,395.2153,0.4072
2011,12,01,2011.916667,395.8998,0.4559
2011,12,09,2011.937500,396.2422,0.4018
2011,12,16,2011.958333,396.5289,0.3722
2011,12,24,2011.979167,396.7666,0.3733
2012,01,01,2012.000000,396.9713,0.4107
2012,01,08,2012.020833,397.1327,0.4775
2012,01,16,2012.041667,397.2760,0.5636
2012,01,23,2012.062500,397.4220,0.6591
2012,01,31,2012.083333,397.6123,0.7489
2012,02,08,2012.104167,397.8507,0.8239
2012,02,15,2012.125000,398.1448,0.8791
2012,02,23,2012.145833,398.4782,0.9050
2012,03,02,2012.166667,398.8318,0.9016
2012,03,09,2012.187500,399.2373,0.8757
2012,03,17,2012.208333,399.5457,0.8296
2012,03,24,2012.229167,399.8005,0.7746
2012,04,01,2012.250000,399.9801,0.7195
2012,04,09,2012.270833,400.0744,0.6683
2012,04,16,2012.291667,400.0730,0.6256
2012,04,24,2012.312500,399.9662,0.6022
2012,05,01,2012.333333,399.7383,0.6041
2012,05,09,2012.354167,399.1212,0.5214
2012,05,17,2012.375000,398.6636,0.5335
2012,05,24,2012.395833,397.9757,0.5161
2012,06,01,2012.416667,397.0217,0.4520
2012,06,09,2012.437500,395.7824,0.3361
2012,06,16,2012.458333,394.2800,0.1877
2012,06,24,2012.479167,392.5635,0.1027
2012,07,02,2012.500000,390.7250,0.2431
2012,07,09,2012.520833,388.8883,0.4132
2012,07,17,2012.541667,387.1957,0.5562
2012,07,24,2012.562500,386.0125,0.7746
2012,08,01,2012.583333,384.9173,0.8516
2012,08,09,2012.604167,384.3189,0.8383
2012,08,16,2012.625000,384.2604,0.7517
2012,08,24,2012.645833,384.7322,0.6378
2012,09,01,2012.666667,385.6672,0.5762
2012,09,08,2012.687500,386.9382,0.6231
2012,09,16,2012.708333,388.4019,0.7446
2012,09,23,2012.729167,389.9183,0.8643
2012,10,01,2012.750000,390.9623,0.7868
2012,10,09,2012.770833,392.1536,0.7948
2012,10,16,2012.791667,393.2156,0.7610
2012,10,24,2012.812500,394.1637,0.7019
2012,10,31,2012.833333,395.0318,0.6410
2012,11,08,2012.854167,395.8510,0.5973
2012,11,16,2012.875000,396.6424,0.5785
2012,11,23,2012.895833,396.8886,0.4270
2012,12,01,2012.916667,397.5900,0.4079
2012,12,09,2012.937500,398.2383,0.3966
2012,12,16,2012.958333,398.4088,0.4275
2012,12,24,2012.979167,398.7590,0.3946
2013,01,01,2013.000000,398.9754,0.3686
2013,01,08,2013.020833,399.2012,0.3597
2013,01,16,2013.041667,399.3781,0.3840
2013,01,23,2013.062500,399.5424,0.4522
2013,01,31,2013.083333,399.7175,0.5485
2013,02,08,2013.104167,399.9277,0.6423
2013,02,15,2013.125000,400.2098,0.7021
2013,02,23,2013.145833,400.5442,0.7129
2013,03,02,2013.166667,400.9020,0.6619
2013,03,10,2013.187500,401.2563,0.5601
2013,03,18,2013.208333,401.5774,0.4371
2013,03,25,2013.229167,401.8427,0.3316
2013,04,02,2013.250000,402.0460,0.2762
2013,04,09,2013.270833,402.1894,0.2793
2013,04,17,2013.291667,401.9827,0.2723
2013,04,25,2013.312500,402.0044,0.3432
2013,05,02,2013.333333,401.9442,0.4273
2013,05,10,2013.354167,401.7606,0.4874
2013,05,17,2013.375000,401.3988,0.4886
2013,05,25,2013.395833,400.8180,0.4036
2013,06,02,2013.416667,399.9904,0.2645
2013,06,09,2013.437500,398.9145,0.2995
2013,06,17,2013.458333,397.6195,0.5880
2013,06,24,2013.479167,396.1766,0.9312
2013,07,02,2013.500000,394.6695,1.2388
2013,07,10,2013.520833,392.8082,1.2388
2013,07,17,2013.541667,391.5766,1.2947
2013,07,25,2013.562500,390.5373,1.2464
2013,08,01,2013.583333,389.7345,1.0995
2013,08,09,2013.604167,389.2025,0.8824
2013,08,17,2013.625000,388.9749,0.6353
2013,08,24,2013.645833,389.0689,0.4161
2013,09,01,2013.666667,389.4814,0.3140
2013,09,08,2013.687500,390.1906,0.3696
2013,09,16,2013.708333,391.1398,0.4758
2013,09,24,2013.729167,392.2497,0.5624
2013,10,01,2013.750000,393.3119,0.5713
2013,10,09,2013.770833,394.4711,0.5737
2013,10,16,2013.791667,395.5653,0.5611
2013,10,24,2013.812500,396.5406,0.5326
2013,11,01,2013.833333,397.3799,0.4977
2013,11,08,2013.854167,398.0923,0.4640
2013,11,16,2013.875000,398.7045,0.4368
2013,11,23,2013.895833,399.2509,0.4173
2013,12,01,2013.916667,399.7510,0.3950
2013,12,09,2013.937500,400.2244,0.3658
2013,12,16,2013.958333,400.6728,0.3307
2013,12,24,2013.979167,401.0913,0.2917
2014,01,01,2014.000000,401.4718,0.2558
2014,01,08,2014.020833,401.8191,0.2303
2014,01,16,2014.041667,402.1202,0.2190
2014,01,23,2014.062500,402.3765,0.2257
2014,01,31,2014.083333,402.5968,0.2525
2014,02,08,2014.104167,402.7874,0.2911
2014,02,15,2014.125000,402.9588,0.3286
2014,02,23,2014.145833,403.3759,0.3700
2014,03,02,2014.166667,403.4978,0.3554
2014,03,10,2014.187500,403.6100,0.3285
2014,03,18,2014.208333,403.7203,0.2977
2014,03,25,2014.229167,403.8353,0.2714
2014,04,02,2014.250000,403.9611,0.2549
2014,04,09,2014.270833,404.0955,0.2519
2014,04,17,2014.291667,404.2261,0.2604
2014,04,25,2014.312500,404.3201,0.2768
2014,05,02,2014.333333,404.3337,0.3000
2014,05,10,2014.354167,404.2077,0.3233
2014,05,17,2014.375000,403.8789,0.3416
2014,05,25,2014.395833,403.2886,0.3488
2014,06,02,2014.416667,402.3951,0.3487
2014,06,09,2014.437500,401.1936,0.3588
2014,06,17,2014.458333,399.7191,0.4094
2014,06,24,2014.479167,398.0506,0.5122
2014,07,02,2014.500000,396.3020,0.6491
2014,07,10,2014.520833,394.6138,0.7839
2014,07,17,2014.541667,393.1109,0.8798
2014,07,25,2014.562500,391.8867,0.9176
2014,08,01,2014.583333,390.9943,0.8928
2014,08,09,2014.604167,390.4526,0.8178
2014,08,17,2014.625000,390.2354,0.7173
2014,08,24,2014.645833,390.3065,0.6234
2014,09,01,2014.666667,390.6276,0.5632
2014,09,08,2014.687500,391.1645,0.5459
2014,09,16,2014.708333,391.9015,0.5566
2014,09,24,2014.729167,392.8272,0.5727
2014,10,01,2014.750000,393.9295,0.5796
2014,10,09,2014.770833,395.1759,0.5715
2014,10,16,2014.791667,396.5015,0.5490
2014,10,24,2014.812500,397.8264,0.5174
2014,11,01,2014.833333,399.0665,0.4877
2014,11,08,2014.854167,400.1494,0.4677
2014,11,16,2014.875000,401.0251,0.4648
2014,11,23,2014.895833,401.6783,0.4732
2014,12,01,2014.916667,402.1324,0.4792
2014,12,09,2014.937500,402.4366,0.4724
2014,12,16,2014.958333,402.6485,0.4461
2014,12,24,2014.979167,402.8230,0.3976
2015,01,01,2015.000000,402.9743,0.3334
2015,01,08,2015.020833,403.1858,0.2558
2015,01,16,2015.041667,403.4302,0.1811
2015,01,23,2015.062500,403.6919,0.1229
2015,01,31,2015.083333,403.9543,0.0911
2015,02,08,2015.104167,404.2033,0.0820
2015,02,15,2015.125000,404.4330,0.0863
2015,02,23,2015.145833,404.6494,0.1102
2015,03,02,2015.166667,404.8665,0.1609
2015,03,10,2015.187500,405.0933,0.2274
2015,03,18,2015.208333,405.3353,0.2985
2015,03,25,2015.229167,405.5867,0.3623
2015,04,02,2015.250000,405.8279,0.4115
2015,04,09,2015.270833,406.0306,0.4430
2015,04,17,2015.291667,406.1676,0.4596
2015,04,25,2015.312500,406.2154,0.4669
2015,05,02,2015.333333,406.1481,0.4751
2015,05,10,2015.354167,405.9468,0.4891
2015,05,17,2015.375000,405.5929,0.5064
2015,05,25,2015.395833,405.0710,0.5166
2015,06,02,2015.416667,404.3648,0.5072
2015,06,09,2015.437500,403.4629,0.4668
2015,06,17,2015.458333,402.3578,0.3883
2015,06,24,2015.479167,400.8549,0.2755
2015,07,02,2015.500000,399.3197,0.1011
2015,07,10,2015.520833,397.6727,0.1724
2015,07,17,2015.541667,396.0030,0.3736
2015,07,25,2015.562500,394.4326,0.5388
2015,08,01,2015.583333,393.0900,0.6344
2015,08,09,2015.604167,392.0985,0.6432
2015,08,17,2015.625000,391.5630,0.5760
2015,08,24,2015.645833,391.5185,0.4568
2015,09,01,2015.666667,391.9663,0.3532
2015,09,08,2015.687500,392.8511,0.3697
2015,09,16,2015.708333,393.8342,0.4397
2015,09,24,2015.729167,395.1495,0.5577
2015,10,01,2015.750000,396.5591,0.6547
2015,10,09,2015.770833,397.9555,0.7216
2015,10,16,2015.791667,399.2614,0.7603
2015,10,24,2015.812500,400.4373,0.7740
2015,11,01,2015.833333,401.4748,0.7703
2015,11,08,2015.854167,402.3940,0.7524
2015,11,16,2015.875000,403.2225,0.7215
2015,11,23,2015.895833,403.9891,0.6779
2015,12,01,2015.916667,404.7070,0.6215
2015,12,09,2015.937500,405.3737,0.5584
2015,12,16,2015.958333,405.9691,0.4917
2015,12,24,2015.979167,406.4709,0.4298
2016,01,01,2016.000000,406.8187,0.3693
2016,01,08,2016.020833,407.1077,0.3421
2016,01,16,2016.041667,407.2925,0.3393
2016,01,23,2016.062500,407.4004,0.3599
2016,01,31,2016.083333,407.4659,0.3937
2016,02,08,2016.104167,407.5249,0.4270
2016,02,15,2016.125000,407.6069,0.4448
2016,02,23,2016.145833,407.7282,0.4394
2016,03,02,2016.166667,407.8932,0.4086
2016,03,09,2016.187500,408.0972,0.3582
2016,03,17,2016.208333,408.3314,0.3015
2016,03,24,2016.229167,408.5800,0.2592
2016,04,01,2016.250000,408.8239,0.2504
2016,04,09,2016.270833,409.0399,0.2792
2016,04,16,2016.291667,409.2017,0.3384
2016,04,24,2016.312500,409.2696,0.4168
2016,05,01,2016.333333,409.2058,0.5095
2016,05,09,2016.354167,408.9772,0.6077
2016,05,17,2016.375000,408.5689,0.6917
2016,05,24,2016.395833,407.9702,0.7471
2016,06,01,2016.416667,407.2013,0.7627
2016,06,09,2016.437500,406.2929,0.7347
2016,06,16,2016.458333,405.2768,0.6681
2016,06,24,2016.479167,404.1840,0.5792
2016,07,02,2016.500000,403.0390,0.4866
2016,07,09,2016.520833,401.8980,0.3822
2016,07,17,2016.541667,400.7197,0.3475
2016,07,24,2016.562500,399.5819,0.3507
2016,08,01,2016.583333,398.5472,0.3858
2016,08,09,2016.604167,397.6979,0.4379
2016,08,16,2016.625000,397.1133,0.4925
2016,08,24,2016.645833,396.8867,0.5323
2016,09,01,2016.666667,397.0613,0.5439
2016,09,08,2016.687500,397.6501,0.5236
2016,09,16,2016.708333,398.6033,0.4754
2016,09,23,2016.729167,399.8135,0.4132
2016,10,01,2016.750000,401.1545,0.3538
2016,10,09,2016.770833,402.4930,0.3180
2016,10,16,2016.791667,403.7257,0.3234
2016,10,24,2016.812500,404.7875,0.3723
2016,10,31,2016.833333,405.6572,0.4515
2016,11,08,2016.854167,406.3623,0.5338
2016,11,16,2016.875000,406.9486,0.5960
2016,11,23,2016.895833,407.4622,0.6201
2016,12,01,2016.916667,407.9366,0.5993
2016,12,09,2016.937500,408.3855,0.5397
2016,12,16,2016.958333,408.8092,0.4565
2016,12,24,2016.979167,409.1949,0.3706
2017,01,01,2017.000000,409.4652,0.2880
